Galileo,7,1,0,9,4,2,0,34606645,2984823226,2434631600,1974386688,2235192493,1379107114,2863297077,1400848384,1
Galileo,27,1,0,9,1,2,0,68115200,167774357,2348713933,402604032,2868920320,42,2863293757,3510583296,1
Galileo,27,1,0,9,1,2,0,68115200,167774357,2348713933,402604032,2868920320,42,2863293757,3510583296,1
Galileo,27,1,0,9,1,2,0,100663296,0,311462537,3796992000,2582020096,42,2863300227,2336178176,1
Galileo,7,1,0,9,4,2,0,100663296,0,311462537,3796992000,2582032698,1402851178,2863296249,4202643456,1
Galileo,7,1,0,9,4,2,0,100663296,0,311462537,3796992000,2582032698,1402851178,2863296249,4202643456,1
Galileo,27,1,0,9,1,2,0,165395797,1431655765,1428816304,534724608,2751315968,42,2863291147,1988050944,1
Galileo,7,1,0,9,4,2,0,151765077,1431655765,1428816320,534740992,2382224515,2148480490,2863294890,1300185088,1
Galileo,7,1,0,9,4,2,0,151765077,1431655765,1428816320,534740992,2382224515,2148480490,2863294890,1300185088,1
Galileo,27,1,0,9,1,2,0,181986287,3825510397,536866816,2919284736,2147663872,42,2863293066,3363782656,1
Galileo,27,1,0,9,1,2,0,181986287,3825510397,536866816,2919284736,2147663872,42,2863293066,3363782656,1
Galileo,27,1,0,9,1,2,0,181986287,3825510397,536866816,2919284736,2147663872,42,2863293066,3363782656,1
Galileo,7,1,0,9,4,2,0,9786709,1431655765,1431655765,1378484224,3007217408,176997674,2863285566,2344566784,1
Galileo,7,1,0,9,4,2,0,9786709,1431655765,1431655765,1378484224,3007217408,176997674,2863285566,2344566784,1
Galileo,27,1,0,9,1,2,0,9786709,1431655765,1431655765,1378484224,3007234048,42,2863297041,4290723840,1
Galileo,7,1,0,9,4,2,0,9786709,1431655765,1431655765,1378484224,3007250048,2093084714,2863290896,1728004096,1
Galileo,7,1,0,9,4,2,0,9786709,1431655765,1431655765,1378484224,3007250048,2093084714,2863290896,1728004096,1
Galileo,27,1,0,9,1,2,0,9786709,1431655765,1431655765,1378484224,3007266816,42,2863289189,3070181376,1
